platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,2003,284,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_284_archv.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_284_tc.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_284_cloudmask.bsq
TM,2003,212,M:\Bering_Glacier\063018\images\2003\LT5063018_2003_212_archv.bsq,M:\Bering_Glacier\063018\images\2003\LT5063018_2003_212_tc.bsq,M:\Bering_Glacier\063018\images\2003\LT5063018_2003_212_cloudmask.bsq
TM,2003,260,M:\Bering_Glacier\063018\images\2003\LT5063018_2003_260_archv.bsq,M:\Bering_Glacier\063018\images\2003\LT5063018_2003_260_tc.bsq,M:\Bering_Glacier\063018\images\2003\LT5063018_2003_260_cloudmask.bsq
TM,2004,47,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_047_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_047_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_047_cloudmask.bsq
TM,2004,111,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_111_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_111_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_111_cloudmask.bsq
TM,2004,127,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_127_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_127_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_127_cloudmask.bsq
TM,2004,143,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_143_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_143_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_143_cloudmask.bsq
TM,2004,175,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_175_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_175_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_175_cloudmask.bsq
TM,2004,191,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_191_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_191_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_191_cloudmask.bsq
TM,2004,223,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_223_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_223_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_223_cloudmask.bsq
